group,metric,metric_label,comparison,n,mean_normal,mean_missing,mean_diff,std_diff,t_stat,t_pvalue,cohens_dz,wilcoxon_stat,wilcoxon_pvalue,rank_biserial_r,mean_wrong,t_pvalue_holm,wilcoxon_pvalue_holm
Single-Answer,vital-precision,Vital Precision,normal vs wrong,3000,0.728138761127742,,0.2408138453311776,0.30618500971834783,43.07826022207193,4.9295285e-316,0.7864978287235435,187873.0,1.740054029690224e-264,0.8486790334363494,0.4873249157965643,7.88724563e-315,2.7840864475043583e-263
Single-Answer,vital-precision,Vital Precision,missing vs wrong,3000,,0.7222312011245835,0.23490628532801908,0.3371765153184014,38.159084493889445,4.65698042172491e-260,0.6966863783682952,300684.5,7.030441940891494e-223,0.7691395802454064,0.4873249157965643,6.054074548242383e-259,9.84261871724809e-222
Single-Answer,linear-decay-precision,Linear-Decay Precision,normal vs missing,3000,0.7298730565503043,0.7414384456516053,-0.011565389101301003,0.20724026869927226,-3.0566571530068685,0.0022579255969703183,-0.05580666910871273,1021021.0,0.037104438273734,-0.052823705451856884,,0.009031702387881273,0.148417753094936
Single-Answer,linear-decay-precision,Linear-Decay Precision,normal vs wrong,3000,0.7298730565503043,,0.2115665944212298,0.24457830687197624,47.37942528963172,0.0,0.8650259997587345,309150.5,1.222451618233814e-294,0.8234425029718894,0.5183064621290745,0.0,2.078167750997484e-293
Single-Answer,linear-decay-precision,Linear-Decay Precision,missing vs wrong,3000,,0.7414384456516053,0.2231319835225308,0.2538677850545309,48.14097253415177,0.0,0.878929886573052,307841.0,5.434519218124055e-296,0.8247206109478089,0.5183064621290745,0.0,9.782134592623299e-295
Single-Answer,nuggets-strict-all,Nuggets Recall (strict-all),normal vs missing,3000,0.2770663692751884,0.1912948713422573,0.08577149793293112,0.15976666198628917,29.40474791474691,3.2573097976548187e-167,0.5368547910219958,82153.0,3.3212531953248807e-211,0.8800983697476539,,3.9087717571857823e-166,3.985503834389857e-210
Single-Answer,nuggets-strict-all,Nuggets Recall (strict-all),normal vs wrong,3000,0.2770663692751884,,0.04212722165678726,0.11972783679093754,19.272067553290217,4.042200365674115e-78,0.3518582042900149,131414.0,4.7239060505998776e-101,0.6853406889682238,0.2349391476184012,2.8295402559718807e-77,3.306734235419914e-100
Single-Answer,nuggets-strict-all,Nuggets Recall (strict-all),missing vs wrong,3000,,0.1912948713422573,-0.04364427627614386,0.14382110819023794,-16.621311658099255,2.0529917195970213e-59,-0.3034622443488186,240813.5,1.0711172456291593e-74,-0.5514929994552287,0.2349391476184012,1.2317950317582128e-58,6.426703473774956e-74
Single-Answer,nuggets-vital-recall,Vital Recall,normal vs missing,3000,0.5244136580897502,0.2745242251136307,0.24988943297611949,0.3513940248108632,38.950599514851135,6.326627830557662e-269,0.7111373994211249,32932.0,1.0805120082407104e-221,0.9418812016606883,,9.489941745836493e-268,1.4046656107129236e-220
Single-Answer,nuggets-vital-recall,Vital Recall,normal vs wrong,3000,0.5244136580897502,,0.15737802938369896,0.3113689402513288,27.684038324305835,2.0180518145165673e-150,0.5054390757686608,36028.5,1.1382690125887266e-138,0.8765597697605099,0.3670356287060512,2.018051814516567e-149,1.1382690125887267e-137
